co2_ppm,pm25_ugm3,pm10_ugm3,no2_ppb,exposure_hours,open_environment,absences,day_of_year,date
474;8357076505616,2;7368479512617228,5;118837400798409,62;02251953095076,8;435159072685924,1;0,0,120,2024-04-29
531;704141929729,11;637398813963213,21;34433057025101,3;3861530331067784,4;510870096203927,0;0,0,25,2024-01-25
578;8613122860415,9;330058382848389,12;265472943837324,13;74108996690982,6;156693760443475,0;0,0,153,2024-06-01
631;3817913844815,17;983015969115264,35;17298541186393,20;70888120618928,5;790547389804651,0;0,0,245,2024-09-01
525;9507975165998,14;881693492810268,23;67941393144376,8;247727049437678,9;318616239022656,0;0,0,260,2024-09-16
438;293152152541,30;04629220803342,57;044399792799766,234;36146272225736,9;596696102698216,1;0,0,4,2024-01-04
634;7527689304435,4;312422020015538,7;766329589864698,15;083467168338828,8;351144123430977,0;0,0,143,2024-05-22
488;3717364576455,16;80452363663369,27;02936767124654,44;16975724787856,5;462616046313654,1;0,0,282,2024-10-08
426;5262807032524,51;63955829811033,73;38593887914162,60;05550546533348,11;573194047853391,1;0,0,335,2024-11-30
477;1280021792982,22;25083936382515,30;816900925250227,75;32415775460247,7;167579572320823,1;0,0,346,2024-12-11
426;8291153593769,43;81672216654446,89;75270581703761,21;970476709210544,9;206962020603074,1;0,0,220,2024-08-07
512;0562147857845,35;043892031041025,74;52286151600495,35;65794975437752,8;098649673399118,0;0,0,327,2024-11-22
554;517736293962,7;0667258421017225,13;319430178494509,11;62113951653926,8;417326966499829,0;0,0,160,2024-06-08
425;2031853205321,5;235525568985233,7;293561997432478,103;85998732112807,9;136368006680796,0;0,0,76,2024-03-16
436;504930049218,5;004320004338998,8;316301565026999,9;896779147514152,6;607959676798096,0;0,0,99,2024-04-08
421;88562353795135,4;215233241260685,8;245187086066,221;01732665901608,10;610804852530332,1;0,0,180,2024-06-28
479;23013277993454,5;932484083969948,11;875876793624329,9;298807852700602,4;840989165825454,0;0,0,127,2024-05-06
465;71236662976366,39;719333197105,55;86114152023071,36;36397054515477,5;922887387928231,1;0,0,32,2024-02-01
404;5987962239395,2;604325449970017,3;385695086644764,26;57142379728689,10;584858748674163,1;0,0,265,2024-09-21
379;3848149332354,5;893102619501123,11;438060426821966,26;286982456234547,9;180009522208945,1;0,0,334,2024-11-29
523;2824384460777,15;603265627823037,25;291903686370777,29;703917515196487,12;0,1;0,0,13,2024-01-13
526;4534219708079,6;460893702378447,9;87892096263475,29;962213320071125,8;13670088730626,0;0,0,352,2024-12-17
544;0516922812755,8;253993399971648,10;826001487430313,19;863318995502645,11;400858592918183,0;0,0,339,2024-12-04
454;5151088271926,113;56786560050804,202;86281065067223,16;992604143129473,4;285042434673193,0;0,0,202,2024-07-20
507;337036528489,9;969387408835754,20;597109913785847,7;825309070184496,5;17297005360561,0;0,0,18,2024-01-18
546;6553553825919,5;117708441202774,11;063812577286528,4;023531879374717,9;791051074833948,0;0,0,93,2024-04-02
392;45032112888487,6;904343803734052,12;49113482468889,39;80109909883216,4;51926434877103,1;0,0,280,2024-10-06
468;7849009172836,32;801985882847454,57;83039953651717,239;01955315696293,7;605264785981022,1;0,0,358,2024-12-23
503;9616786048716,17;780155584175123,24;47528645011132,5;2074778489955005,10;334418167294317,0;0,0,316,2024-11-11
